report_date,location,location_type,data_field_code,value,Unnamed: 9,Unnamed: 10,ï»¿report_date
2016-01-09,El_Salvador-San_Salvador,department,SV0010,159.0,,,
2016-01-09,El_Salvador-San_Miguel,department,SV0010,13.0,,,
2016-01-09,El_Salvador-Morazan,department,SV0010,2.0,,,
2016-01-09,El_Salvador-La_Paz,department,SV0010,4.0,,,
2016-01-09,El_Salvador-La_Libertad,department,SV0010,89.0,,,
2016-01-09,El_Salvador-Cuscatlan,department,SV0010,47.0,,,
2016-01-09,El_Salvador-Chalatenango,department,SV0010,32.0,,,
2016-01-09,El_Salvador-Cabanas,department,SV0010,19.0,,,
2016-01-09,El_Salvador-Ahuachapan,department,SV0010,11.0,,,
2016-01-09,El_Salvador-La_Union,department,SV0010,2.0,,,
2016-01-16,El_Salvador-San_Salvador,department,SV0010,605.0,,,
2016-01-16,El_Salvador,country,SV0010,1561.0,,,
2016-01-16,El_Salvador-Usulutan,department,SV0010,22.0,,,
2016-01-16,El_Salvador-Sonsonate,department,SV0010,14.0,,,
2016-01-16,El_Salvador-Santa_Ana,department,SV0010,153.0,,,
2016-01-16,El_Salvador-San_Vicente,department,SV0010,87.0,,,
2016-01-16,El_Salvador-San_Miguel,department,SV0010,29.0,,,
2016-01-16,El_Salvador-La_Paz,department,SV0010,39.0,,,
2016-01-16,El_Salvador-La_Union,department,SV0010,6.0,,,
2016-01-16,El_Salvador-Ahuachapan,department,SV0010,29.0,,,
2016-01-16,El_Salvador-Cabanas,department,SV0010,71.0,,,
2016-01-16,El_Salvador-Chalatenango,department,SV0010,110.0,,,
2016-01-16,El_Salvador-Morazan,department,SV0010,14.0,,,
2016-01-16,El_Salvador-La_Libertad,department,SV0010,253.0,,,
2016-01-16,El_Salvador-Cuscatlan,department,SV0010,129.0,,,
2016-01-23,El_Salvador,country,SV0010,2474.0,,,
2016-01-23,El_Salvador-Usulutan,department,SV0010,34.0,,,
2016-01-23,El_Salvador-Sonsonate,department,SV0010,18.0,,,
2016-01-23,El_Salvador-Santa_Ana,department,SV0010,231.0,,,
2016-01-23,El_Salvador-San_Salvador,department,SV0010,1015.0,,,
2016-01-23,El_Salvador-San_Miguel,department,SV0010,53.0,,,
2016-01-23,El_Salvador-Morazan,department,SV0010,36.0,,,
2016-01-23,El_Salvador-San_Vicente,department,SV0010,125.0,,,
2016-01-23,El_Salvador-La_Paz,department,SV0010,53.0,,,
2016-01-23,El_Salvador-La_Libertad,department,SV0010,390.0,,,
2016-01-23,El_Salvador-Cuscatlan,department,SV0010,180.0,,,
2016-01-23,El_Salvador-Chalatenango,department,SV0010,174.0,,,
2016-01-23,El_Salvador-Cabanas,department,SV0010,107.0,,,
2016-01-23,El_Salvador-Ahuachapan,department,SV0010,48.0,,,
2016-01-23,El_Salvador-La_Union,department,SV0010,10.0,,,
2016-01-30,El_Salvador-San_Salvador,department,SV0010,1254.0,,,
2016-01-30,El_Salvador-Guatemala,department,SV0010,2.0,,,
2016-01-30,El_Salvador-Usulutan,department,SV0010,62.0,,,
2016-01-30,El_Salvador,country,SV0010,3302.0,,,
2016-01-30,El_Salvador-Sonsonate,department,SV0010,26.0,,,
2016-01-30,El_Salvador-Santa_Ana,department,SV0010,318.0,,,
2016-01-30,El_Salvador-San_Vicente,department,SV0010,158.0,,,
2016-01-30,El_Salvador-San_Miguel,department,SV0010,69.0,,,
2016-01-30,El_Salvador-Chalatenango,department,SV0010,239.0,,,
2016-01-30,El_Salvador-La_Union,department,SV0010,17.0,,,
2016-01-30,El_Salvador-La_Paz,department,SV0010,77.0,,,
2016-01-30,El_Salvador-La_Libertad,department,SV0010,557.0,,,
2016-01-30,El_Salvador-Cuscatlan,department,SV0010,256.0,,,
2016-01-30,El_Salvador-Cabanas,department,SV0010,149.0,,,
2016-01-30,El_Salvador-Morazan,department,SV0010,52.0,,,
2016-01-30,El_Salvador-Ahuachapan,department,SV0010,67.0,,,
2016-02-06,El_Salvador-San_Salvador,department,SV0010,1582.0,,,
2016-02-06,El_Salvador,country,SV0010,4087.0,,,
2016-02-06,El_Salvador-Guatemala,department,SV0010,2.0,,,
2016-02-06,El_Salvador-Usulutan,department,SV0010,83.0,,,
2016-02-06,El_Salvador-Sonsonate,department,SV0010,37.0,,,
2016-02-06,El_Salvador-Santa_Ana,department,SV0010,382.0,,,
2016-02-06,El_Salvador-San_Vicente,department,SV0010,199.0,,,
2016-02-06,El_Salvador-San_Miguel,department,SV0010,76.0,,,
2016-02-06,El_Salvador-La_Union,department,SV0010,22.0,,,
2016-02-06,El_Salvador-La_Paz,department,SV0010,92.0,,,
2016-02-06,El_Salvador-La_Libertad,department,SV0010,675.0,,,
2016-02-06,El_Salvador-Cuscatlan,department,SV0010,307.0,,,
2016-02-06,El_Salvador-Chalatenango,department,SV0010,301.0,,,
2016-02-06,El_Salvador-Cabanas,department,SV0010,180.0,,,
2016-02-06,El_Salvador-Ahuachapan,department,SV0010,86.0,,,
2016-02-06,El_Salvador-Morazan,department,SV0010,63.0,,,
2016-02-13,El_Salvador-Guatemala,department,SV0010,2.0,,,
2016-02-13,El_Salvador-Usulutan,department,SV0010,105.0,,,
2016-02-13,El_Salvador-Sonsonate,department,SV0010,44.0,,,
2016-02-13,El_Salvador-Santa_Ana,department,SV0010,437.0,,,
2016-02-13,El_Salvador-San_Vicente,department,SV0010,220.0,,,
2016-02-13,El_Salvador-San_Salvador,department,SV0010,1835.0,,,
2016-02-13,El_Salvador-San_Miguel,department,SV0010,86.0,,,
2016-02-13,El_Salvador,country,SV0010,4748.0,,,
2016-02-13,El_Salvador-La_Union,department,SV0010,26.0,,,
2016-02-13,El_Salvador-La_Paz,department,SV0010,99.0,,,
2016-02-13,El_Salvador-La_Libertad,department,SV0010,785.0,,,
2016-02-13,El_Salvador-Cuscatlan,department,SV0010,364.0,,,
2016-02-13,El_Salvador-Chalatenango,department,SV0010,352.0,,,
2016-02-13,El_Salvador-Cabanas,department,SV0010,217.0,,,
2016-02-13,El_Salvador-Ahuachapan,department,SV0010,101.0,,,
2016-02-13,El_Salvador-Morazan,department,SV0010,75.0,,,
2016-02-20,El_Salvador,country,SV0010,5123.0,,,
2016-02-20,El_Salvador-Guatemala,department,SV0010,2.0,,,
2016-02-20,El_Salvador-Usulutan,department,SV0010,109.0,,,
2016-02-20,El_Salvador-Sonsonate,department,SV0010,52.0,,,
2016-02-20,El_Salvador-Santa_Ana,department,SV0010,480.0,,,
2016-02-20,El_Salvador-San_Vicente,department,SV0010,240.0,,,
2016-02-20,El_Salvador-San_Salvador,department,SV0010,1948.0,,,
2016-02-20,El_Salvador-San_Miguel,department,SV0010,99.0,,,
2016-02-20,El_Salvador-Morazan,department,SV0010,86.0,,,
2016-02-20,El_Salvador-La_Paz,department,SV0010,101.0,,,
2016-02-20,El_Salvador-La_Libertad,department,SV0010,856.0,,,
2016-02-20,El_Salvador-Cuscatlan,department,SV0010,400.0,,,
2016-02-20,El_Salvador-Chalatenango,department,SV0010,377.0,,,
2016-02-20,El_Salvador-Cabanas,department,SV0010,236.0,,,
2016-02-20,El_Salvador-Ahuachapan,department,SV0010,110.0,,,
2016-02-20,El_Salvador-La_Union,department,SV0010,27.0,,,
2016-02-27,El_Salvador-San_Vicente,department,SV0010,252.0,,,
2016-02-27,El_Salvador,country,SV0010,5343.0,,,
2016-02-27,El_Salvador-Guatemala,department,SV0010,2.0,,,
2016-02-27,El_Salvador-Usulutan,department,SV0010,114.0,,,
2016-02-27,El_Salvador-Sonsonate,department,SV0010,56.0,,,
2016-02-27,El_Salvador-Santa_Ana,department,SV0010,496.0,,,
2016-02-27,El_Salvador-San_Miguel,department,SV0010,107.0,,,
2016-02-27,El_Salvador-San_Salvador,department,SV0010,2033.0,,,
2016-02-27,El_Salvador-La_Union,department,SV0010,31.0,,,
2016-02-27,El_Salvador-Ahuachapan,department,SV0010,116.0,,,
2016-02-27,El_Salvador-Cabanas,department,SV0010,246.0,,,
2016-02-27,El_Salvador-Chalatenango,department,SV0010,381.0,,,
2016-02-27,El_Salvador-Morazan,department,SV0010,92.0,,,
2016-02-27,El_Salvador-La_Libertad,department,SV0010,897.0,,,
2016-02-27,El_Salvador-La_Paz,department,SV0010,108.0,,,
2016-02-27,El_Salvador-Cuscatlan,department,SV0010,412.0,,,
2016-03-05,El_Salvador-Guatemala,department,SV0010,2.0,,,
2016-03-05,El_Salvador-Usulutan,department,SV0010,118.0,,,
2016-03-05,El_Salvador-Sonsonate,department,SV0010,58.0,,,
2016-03-05,El_Salvador-Santa_Ana,department,SV0010,505.0,,,
2016-03-05,El_Salvador-San_Vicente,department,SV0010,263.0,,,
2016-03-05,El_Salvador-San_Salvador,department,SV0010,2139.0,,,
2016-03-05,El_Salvador-San_Miguel,department,SV0010,115.0,,,
2016-03-05,El_Salvador,country,SV0010,5620.0,,,
2016-03-05,El_Salvador-La_Union,department,SV0010,31.0,,,
2016-03-05,El_Salvador-La_Paz,department,SV0010,116.0,,,
2016-03-05,El_Salvador-La_Libertad,department,SV0010,927.0,,,
2016-03-05,El_Salvador-Cuscatlan,department,SV0010,453.0,,,
2016-03-05,El_Salvador-Chalatenango,department,SV0010,410.0,,,
2016-03-05,El_Salvador-Cabanas,department,SV0010,260.0,,,
2016-03-05,El_Salvador-Ahuachapan,department,SV0010,124.0,,,
2016-03-05,El_Salvador-Morazan,department,SV0010,99.0,,,
2016-03-12,El_Salvador,country,SV0010,5693.0,,,
2016-03-12,El_Salvador-Guatemala,department,SV0010,2.0,,,
2016-03-12,El_Salvador-Usulutan,department,SV0010,118.0,,,
2016-03-12,El_Salvador-Sonsonate,department,SV0010,60.0,,,
2016-03-12,El_Salvador-Santa_Ana,department,SV0010,503.0,,,
2016-03-12,El_Salvador-San_Vicente,department,SV0010,266.0,,,
2016-03-12,El_Salvador-San_Salvador,department,SV0010,2146.0,,,
2016-03-12,El_Salvador-San_Miguel,department,SV0010,118.0,,,
2016-03-12,El_Salvador-Morazan,department,SV0010,101.0,,,
2016-03-12,El_Salvador-La_Paz,department,SV0010,119.0,,,
2016-03-12,El_Salvador-La_Libertad,department,SV0010,943.0,,,
2016-03-12,El_Salvador-Cuscatlan,department,SV0010,459.0,,,
2016-03-12,El_Salvador-Cabanas,department,SV0010,269.0,,,
2016-03-12,El_Salvador-Ahuachapan,department,SV0010,130.0,,,
2016-03-12,El_Salvador-La_Union,department,SV0010,33.0,,,
2016-03-12,El_Salvador-Chalatenango,department,SV0010,426.0,,,
2016-03-26,El_Salvador,country,SV0010,5854.0,,,
2016-03-26,El_Salvador-San_Miguel,department,SV0010,120.0,,,
2016-03-26,El_Salvador-Guatemala,department,SV0010,2.0,,,
2016-03-26,El_Salvador-Usulutan,department,SV0010,122.0,,,
2016-03-26,El_Salvador-Sonsonate,department,SV0010,60.0,,,
2016-03-26,El_Salvador-Santa_Ana,department,SV0010,513.0,,,
2016-03-26,El_Salvador-San_Vicente,department,SV0010,272.0,,,
2016-03-26,El_Salvador-San_Salvador,department,SV0010,2197.0,,,
2016-03-26,El_Salvador-Morazan,department,SV0010,102.0,,,
2016-03-26,El_Salvador-La_Paz,department,SV0010,123.0,,,
2016-03-26,El_Salvador-La_Libertad,department,SV0010,960.0,,,
2016-03-26,El_Salvador-Cuscatlan,department,SV0010,478.0,,,
2016-03-26,El_Salvador-Chalatenango,department,SV0010,452.0,,,
2016-03-26,El_Salvador-Cabanas,department,SV0010,287.0,,,
2016-03-26,El_Salvador-Ahuachapan,department,SV0010,131.0,,,
2016-03-26,El_Salvador-La_Union,department,SV0010,35.0,,,
2016-04-02,El_Salvador-Guatemala,department,SV0010,2.0,,,
2016-04-02,El_Salvador-Usulutan,department,SV0010,123.0,,,
2016-04-02,El_Salvador-Sonsonate,department,SV0010,62.0,,,
2016-04-02,El_Salvador-Santa_Ana,department,SV0010,517.0,,,
2016-04-02,El_Salvador-San_Vicente,department,SV0010,273.0,,,
2016-04-02,El_Salvador-San_Salvador,department,SV0010,2228.0,,,
2016-04-02,El_Salvador-San_Miguel,department,SV0010,124.0,,,
2016-04-02,El_Salvador,country,SV0010,5936.0,,,
2016-04-02,El_Salvador-La_Union,department,SV0010,35.0,,,
2016-04-02,El_Salvador-La_Paz,department,SV0010,126.0,,,
2016-04-02,El_Salvador-La_Libertad,department,SV0010,975.0,,,
2016-04-02,El_Salvador-Cuscatlan,department,SV0010,488.0,,,
2016-04-02,El_Salvador-Chalatenango,department,SV0010,459.0,,,
2016-04-02,El_Salvador-Cabanas,department,SV0010,288.0,,,
2016-04-02,El_Salvador-Ahuachapan,department,SV0010,132.0,,,
2016-04-02,El_Salvador-Morazan,department,SV0010,104.0,,,
2016-04-09,El_Salvador,country,SV0010,6003.0,,,
2016-04-09,El_Salvador-Guatemala,department,SV0010,2.0,,,
2016-04-09,El_Salvador-Usulutan,department,SV0010,127.0,,,
2016-04-09,El_Salvador-Sonsonate,department,SV0010,63.0,,,
2016-04-09,El_Salvador-Santa_Ana,department,SV0010,522.0,,,
2016-04-09,El_Salvador-San_Vicente,department,SV0010,276.0,,,
2016-04-09,El_Salvador-San_Salvador,department,SV0010,2247.0,,,
2016-04-09,El_Salvador-San_Miguel,department,SV0010,124.0,,,
2016-04-09,El_Salvador-Morazan,department,SV0010,105.0,,,
2016-04-09,El_Salvador-La_Paz,department,SV0010,132.0,,,
2016-04-09,El_Salvador-La_Libertad,department,SV0010,982.0,,,
2016-04-09,El_Salvador-Cuscatlan,department,SV0010,493.0,,,
2016-04-09,El_Salvador-Chalatenango,department,SV0010,469.0,,,
2016-04-09,El_Salvador-Cabanas,department,SV0010,294.0,,,
2016-04-09,El_Salvador-Ahuachapan,department,SV0010,132.0,,,
2016-04-09,El_Salvador-La_Union,department,SV0010,35.0,,,
2016-04-16,El_Salvador,country,SV0010,6137.0,,,
2016-04-16,El_Salvador-Guatemala,department,SV0010,2.0,,,
2016-04-16,El_Salvador-Usulutan,department,SV0010,131.0,,,
2016-04-16,El_Salvador-Sonsonate,department,SV0010,67.0,,,
2016-04-16,El_Salvador-Santa_Ana,department,SV0010,534.0,,,
2016-04-16,El_Salvador-San_Vicente,department,SV0010,280.0,,,
2016-04-16,El_Salvador-San_Miguel,department,SV0010,128.0,,,
2016-04-16,El_Salvador-San_Salvador,department,SV0010,2301.0,,,
2016-04-16,El_Salvador-La_Union,department,SV0010,36.0,,,
2016-04-16,El_Salvador-La_Paz,department,SV0010,131.0,,,
2016-04-16,El_Salvador-La_Libertad,department,SV0010,999.0,,,
2016-04-16,El_Salvador-Cuscatlan,department,SV0010,506.0,,,
2016-04-16,El_Salvador-Chalatenango,department,SV0010,476.0,,,
2016-04-16,El_Salvador-Cabanas,department,SV0010,306.0,,,
2016-04-16,El_Salvador-Ahuachapan,department,SV0010,132.0,,,
2016-04-16,El_Salvador-Morazan,department,SV0010,108.0,,,
2016-04-23,El_Salvador-Guatemala,department,SV0010,2.0,,,
2016-04-23,El_Salvador-Usulutan,department,SV0010,133.0,,,
