report_date,value
2016-01-09,1.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,23.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,109.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,18.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,11.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,2.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,11.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,4.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,1.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,8.0
2016-01-09,3.0
2016-01-09,0.0
2016-01-09,1.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,12.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,4.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,1385.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,1.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,13.0
2016-01-09,87.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,572.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
2016-01-09,0.0
