report_date,value,location,location_type,data_field_code
2016-01-09,0.0,Colombia-Boyaca-Tibasosa,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Susacon,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Siachoque,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Sativasur,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Sativanorte,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Raquira,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Rondon,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Saboya,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Sachica,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Samaca,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-San_Eduardo,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-San_Jose_De_Pare,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-San_Luis_De_Gaceno,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-San_Mateo,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-San_Miguel_De_Sema,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-San_Pablo_De_Borbur,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Santana,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Santa_Maria,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Santa_Rosa_De_Viterbo,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Santa_Sofia,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Tinjaca,municipality,CO0002
2016-01-09,0.0,Colombia-Cesar-Chiriguana,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Tipacoque,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Togui,municipality,CO0002
2016-01-09,0.0,Colombia-Caldas-La_Merced,municipality,CO0002
2016-01-09,0.0,Colombia-Caldas-Manzanares,municipality,CO0002
2016-01-09,2.0,Colombia-Caldas-Marmato,municipality,CO0002
2016-01-09,0.0,Colombia-Caldas-Marquetalia,municipality,CO0002
2016-01-09,0.0,Colombia-Caldas-Marulanda,municipality,CO0002
2016-01-09,0.0,Colombia-Caldas-Neira,municipality,CO0002
2016-01-09,11.0,Colombia-Caldas-La_Dorada,municipality,CO0002
2016-01-09,0.0,Colombia-Caldas-Norcasia,municipality,CO0002
2016-01-09,0.0,Colombia-Caldas-Palestina,municipality,CO0002
2016-01-09,0.0,Colombia-Caldas-Pensilvania,municipality,CO0002
2016-01-09,0.0,Colombia-Caldas-Riosucio,municipality,CO0002
2016-01-09,0.0,Colombia-Caldas-Risaralda,municipality,CO0002
2016-01-09,0.0,Colombia-Caldas-Salamina,municipality,CO0002
2016-01-09,4.0,Colombia-Caldas-Samana,municipality,CO0002
2016-01-09,0.0,Colombia-Caldas-Pacora,municipality,CO0002
2016-01-09,0.0,Colombia-Caldas-Filadelfia,municipality,CO0002
2016-01-09,0.0,Colombia-Caldas-Chinchina,municipality,CO0002
2016-01-09,0.0,Colombia-Caldas-Belalcazar,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Topaga,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Tota,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Tunungua,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Turmeque,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Tuta,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Tutaza,municipality,CO0002
