report_date,location,location_type,data_field_code,value
2016-05-07,Brazil-Bahia,state,BR0011,40420.0
2016-05-07,Brazil-Rio_Grande_do_Sul,state,BR0011,311.0
2016-05-07,Centro-Oeste,region,BR0011,21756.0
2016-05-07,Brazil-Mato_Grosso_do_Sul,state,BR0011,621.0
2016-05-07,Brazil-Mato_Grosso,state,BR0011,18226.0
2016-05-07,Brazil-Goias,state,BR0011,2604.0
2016-05-07,Brazil-Distrito_Federal,state,BR0011,305.0
2016-05-07,Brazil-Santa_Catarina,state,BR0011,95.0
2016-05-07,Brazil-Sergipe,state,BR0011,497.0
2016-05-07,Brazil,country,BR0011,138108.0
2016-05-07,Brazil-Pernambuco,state,BR0011,496.0
2016-05-07,Norte,region,BR0011,8053.0
2016-05-07,Brazil-Rondonia,state,BR0011,960.0
2016-05-07,Brazil-Acre,state,BR0011,823.0
2016-05-07,Brazil-Amazonas,state,BR0011,2172.0
2016-05-07,Brazil-Roraima,state,BR0011,79.0
2016-05-07,Brazil-Para,state,BR0011,1362.0
2016-05-07,Brazil-Amapa,state,BR0011,122.0
2016-05-07,Brazil-Alagoas,state,BR0011,2458.0
2016-05-07,Nordeste,region,BR0011,51065.0
2016-05-07,Brazil-Maranhao,state,BR0011,2003.0
2016-05-07,Brazil-Piaui,state,BR0011,95.0
2016-05-07,Brazil-Ceara,state,BR0011,887.0
2016-05-07,Brazil-Rio_Grande_do_Norte,state,BR0011,1757.0
2016-05-07,Brazil-Paraiba,state,BR0011,2452.0
2016-05-07,Brazil-Tocantins,state,BR0011,2535.0
2016-05-14,Brazil-Minas_Gerais,state,BR0011,11237.0
2016-05-14,Brazil-Espirito_Santo,state,BR0011,1918.0
2016-05-14,Brazil-Rio_de_Janeiro,state,BR0011,38196.0
2016-05-14,Brazil-Sao_Paulo,state,BR0011,3452.0
2016-05-14,Sul,region,BR0011,2431.0
2016-05-14,Brazil-Parana,state,BR0011,2025.0
2016-05-14,Brazil-Santa_Catarina,state,BR0011,95.0
2016-05-14,Brazil-Mato_Grosso_do_Sul,state,BR0011,621.0
2016-05-14,Centro-Oeste,region,BR0011,21756.0
2016-05-14,Brazil-Mato_Grosso,state,BR0011,18226.0
2016-05-14,Brazil-Goias,state,BR0011,2604.0
2016-05-14,Brazil-Distrito_Federal,state,BR0011,305.0
2016-05-14,Brazil,country,BR0011,138108.0
2016-05-14,Sudeste,region,BR0011,54803.0
2016-05-14,Brazil-Rio_Grande_do_Sul,state,BR0011,311.0
2016-05-14,Brazil-Bahia,state,BR0011,40420.0
2016-05-14,Brazil-Sergipe,state,BR0011,497.0
2016-05-14,Brazil-Alagoas,state,BR0011,2458.0
2016-05-14,Brazil-Rondonia,state,BR0011,960.0
2016-05-14,Brazil-Acre,state,BR0011,823.0
2016-05-14,Brazil-Amazonas,state,BR0011,2172.0
2016-05-14,Brazil-Roraima,state,BR0011,79.0
2016-05-14,Brazil-Para,state,BR0011,1362.0
2016-05-14,Brazil-Amapa,state,BR0011,122.0
2016-05-14,Brazil-Tocantins,state,BR0011,2535.0
2016-05-14,Norte,region,BR0011,8053.0
2016-05-14,Brazil-Maranhao,state,BR0011,2003.0
2016-05-14,Brazil-Piaui,state,BR0011,95.0
2016-05-14,Brazil-Ceara,state,BR0011,887.0
2016-05-14,Brazil-Rio_Grande_do_Norte,state,BR0011,1757.0
2016-05-14,Brazil-Paraiba,state,BR0011,2452.0
2016-05-14,Brazil-Pernambuco,state,BR0011,496.0
2016-05-14,Nordeste,region,BR0011,51065.0
2016-05-21,Sudeste,region,BR0011,61309.0
2016-05-21,Brazil-Minas_Gerais,state,BR0011,11670.0
2016-05-21,Brazil-Espirito_Santo,state,BR0011,2080.0
2016-05-21,Brazil-Rio_de_Janeiro,state,BR0011,43516.0
2016-05-21,Brazil-Sao_Paulo,state,BR0011,4043.0
2016-05-21,Sul,region,BR0011,2491.0
2016-05-21,Brazil,country,BR0011,148905.0
2016-05-21,Centro-Oeste,region,BR0011,22508.0
2016-05-21,Brazil-Rio_Grande_do_Sul,state,BR0011,344.0
2016-05-21,Brazil-Mato_Grosso_do_Sul,state,BR0011,696.0
2016-05-21,Brazil-Mato_Grosso,state,BR0011,18226.0
2016-05-21,Brazil-Goias,state,BR0011,3217.0
2016-05-21,Brazil-Distrito_Federal,state,BR0011,369.0
2016-05-21,Brazil-Bahia,state,BR0011,42260.0
2016-05-21,Brazil-Santa_Catarina,state,BR0011,102.0
2016-05-21,Brazil-Sergipe,state,BR0011,499.0
2016-05-21,Brazil-Parana,state,BR0011,2045.0
2016-05-21,Brazil-Pernambuco,state,BR0011,496.0
2016-05-21,Norte,region,BR0011,8432.0
2016-05-21,Brazil-Rondonia,state,BR0011,974.0
2016-05-21,Brazil-Acre,state,BR0011,923.0
2016-05-21,Brazil-Amazonas,state,BR0011,2172.0
2016-05-21,Brazil-Para,state,BR0011,1583.0
2016-05-21,Brazil-Amapa,state,BR0011,162.0
2016-05-21,Brazil-Roraima,state,BR0011,83.0
2016-05-21,Nordeste,region,BR0011,54165.0
2016-05-21,Brazil-Maranhao,state,BR0011,2276.0
2016-05-21,Brazil-Piaui,state,BR0011,148.0
2016-05-21,Brazil-Ceara,state,BR0011,1238.0
2016-05-21,Brazil-Rio_Grande_do_Norte,state,BR0011,1788.0
2016-05-21,Brazil-Paraiba,state,BR0011,2648.0
2016-05-21,Brazil-Tocantins,state,BR0011,2535.0
2016-05-21,Brazil-Alagoas,state,BR0011,2812.0
2016-05-28,Sul,region,BR0011,2463.0
2016-05-28,Sudeste,region,BR0011,65328.0
2016-05-28,Brazil-Minas_Gerais,state,BR0011,12449.0
2016-05-28,Brazil-Espirito_Santo,state,BR0011,2150.0
2016-05-28,Brazil-Rio_de_Janeiro,state,BR0011,46027.0
2016-05-28,Brazil-Sao_Paulo,state,BR0011,4702.0
2016-05-28,Brazil,country,BR0011,161241.0
2016-05-28,Brazil-Rio_Grande_do_Sul,state,BR0011,363.0
2016-05-28,Centro-Oeste,region,BR0011,24683.0
2016-05-28,Brazil-Mato_Grosso_do_Sul,state,BR0011,698.0
2016-05-28,Brazil-Mato_Grosso,state,BR0011,19662.0
2016-05-28,Brazil-Goias,state,BR0011,3954.0
2016-05-28,Brazil-Distrito_Federal,state,BR0011,369.0
2016-05-28,Brazil-Bahia,state,BR0011,45419.0
2016-05-28,Brazil-Santa_Catarina,state,BR0011,99.0
2016-05-28,Brazil-Sergipe,state,BR0011,490.0
2016-05-28,Brazil-Parana,state,BR0011,2001.0
2016-05-28,Brazil-Pernambuco,state,BR0011,393.0
2016-05-28,Brazil-Alagoas,state,BR0011,3577.0
2016-05-28,Norte,region,BR0011,9022.0
2016-05-28,Brazil-Rondonia,state,BR0011,1032.0
2016-05-28,Brazil-Acre,state,BR0011,843.0
2016-05-28,Brazil-Amazonas,state,BR0011,2176.0
2016-05-28,Brazil-Para,state,BR0011,2032.0
2016-05-28,Brazil-Amapa,state,BR0011,189.0
2016-05-28,Brazil-Roraima,state,BR0011,83.0
2016-05-28,Nordeste,region,BR0011,59745.0
2016-05-28,Brazil-Maranhao,state,BR0011,2328.0
2016-05-28,Brazil-Piaui,state,BR0011,217.0
2016-05-28,Brazil-Ceara,state,BR0011,2144.0
2016-05-28,Brazil-Rio_Grande_do_Norte,state,BR0011,2312.0
2016-05-28,Brazil-Paraiba,state,BR0011,2865.0
2016-05-28,Brazil-Tocantins,state,BR0011,2667.0
2016-06-11,Brazil-Sao_Paulo,state,BR0011,4736.0
2016-06-11,Sudeste,region,BR0011,65820.0
2016-06-11,Brazil-Minas_Gerais,state,BR0011,12891.0
2016-06-11,Brazil-Espirito_Santo,state,BR0011,2166.0
2016-06-11,Brazil-Rio_de_Janeiro,state,BR0011,46027.0
2016-06-11,Sul,region,BR0011,2392.0
2016-06-11,Brazil-Goias,state,BR0011,4132.0
2016-06-11,Brazil-Santa_Catarina,state,BR0011,97.0
2016-06-11,Brazil-Rio_Grande_do_Sul,state,BR0011,360.0
2016-06-11,Centro-Oeste,region,BR0011,25246.0
2016-06-11,Brazil-Mato_Grosso_do_Sul,state,BR0011,762.0
2016-06-11,Brazil-Mato_Grosso,state,BR0011,19985.0
2016-06-11,Brazil-Bahia,state,BR0011,46427.0
2016-06-11,Brazil-Parana,state,BR0011,1935.0
2016-06-11,Brazil-Sergipe,state,BR0011,491.0
2016-06-11,Nordeste,region,BR0011,61829.0
2016-06-11,Brazil-Pernambuco,state,BR0011,394.0
2016-06-11,Brazil-Distrito_Federal,state,BR0011,367.0
2016-06-11,Norte,region,BR0011,10645.0
2016-06-11,Brazil-Rondonia,state,BR0011,898.0
2016-06-11,Brazil-Acre,state,BR0011,846.0
2016-06-11,Brazil-Amazonas,state,BR0011,3713.0
2016-06-11,Brazil-Roraima,state,BR0011,83.0
2016-06-11,Brazil-Alagoas,state,BR0011,3847.0
2016-06-11,Brazil-Para,state,BR0011,2121.0
2016-06-11,Brazil-Tocantins,state,BR0011,2795.0
2016-06-11,Brazil-Maranhao,state,BR0011,2840.0
2016-06-11,Brazil-Piaui,state,BR0011,241.0
2016-06-11,Brazil-Ceara,state,BR0011,2358.0
2016-06-11,Brazil-Rio_Grande_do_Norte,state,BR0011,2342.0
2016-06-11,Brazil-Paraiba,state,BR0011,2889.0
2016-06-11,Brazil-Amapa,state,BR0011,189.0
2016-06-11,Brazil,country,BR0011,165932.0
