report_date,location,location_type,data_field_code,value,ï»¿report_date
2016-03-22,Guatemala-Nor_Oriente,municipality,GT0001,2.0,
2016-03-30,Guatemala-Solola,municipality,GT0001,0.0,
2016-03-30,Guatemala-Jalapa,municipality,GT0001,0.0,
2016-03-30,Guatemala-El_Quiche,municipality,GT0001,0.0,
2016-03-30,Guatemala-Sacatepequez,municipality,GT0001,0.0,
2016-03-30,Guatemala-Chiquimula,municipality,GT0001,4.0,
2016-03-30,Guatemala-Santa_Rosa,municipality,GT0001,0.0,
2016-03-30,Guatemala-El_Progreso,municipality,GT0001,0.0,
2016-03-30,Guatemala-Peten_Sur_Oriental,municipality,GT0001,0.0,
2016-03-30,Guatemala-Izabal,municipality,GT0001,1.0,
2016-03-30,Guatemala-Suchitepequez,municipality,GT0001,0.0,
2016-03-30,Guatemala-Jutiapa,municipality,GT0001,0.0,
2016-03-30,Guatemala-San_Marcos,municipality,GT0001,0.0,
2016-03-30,Guatemala-Quetzaltenango,municipality,GT0001,4.0,
2016-03-30,Guatemala-Central,municipality,GT0001,0.0,
2016-03-30,Guatemala-Escuintla,municipality,GT0001,0.0,
2016-03-30,Guatemala-Peten_Norte,municipality,GT0001,0.0,
2016-03-30,Guatemala-Peten_Sur_Occidental,municipality,GT0001,1.0,
2016-03-30,Guatemala-Nor_Occidente,municipality,GT0001,0.0,
2016-03-30,Guatemala-Retalhuleu,municipality,GT0001,2.0,
2016-03-30,Guatemala-Zacapa,municipality,GT0001,1.0,
2016-03-30,Guatemala-Nor_Oriente,municipality,GT0001,0.0,
2016-03-30,Guatemala-Sur,municipality,GT0001,0.0,
2016-03-30,Guatemala,country,GT0001,13.0,
2016-04-05,Guatemala-Peten_Norte,municipality,GT0001,0.0,
2016-04-05,Guatemala-Solola,municipality,GT0001,0.0,
2016-04-05,Guatemala-El_Quiche,municipality,GT0001,0.0,
2016-04-05,Guatemala-Sacatepequez,municipality,GT0001,0.0,
2016-04-05,Guatemala-Sur,municipality,GT0001,0.0,
2016-04-05,Guatemala-Nor_Occidente,municipality,GT0001,0.0,
2016-04-05,Guatemala-Peten_Sur_Occidental,municipality,GT0001,0.0,
2016-04-05,Guatemala-Nor_Oriente,municipality,GT0001,0.0,
2016-04-05,Guatemala-Central,municipality,GT0001,0.0,
2016-04-05,Guatemala-El_Progreso,municipality,GT0001,0.0,
2016-04-05,Guatemala-Escuintla,municipality,GT0001,0.0,
