report_date,location,location_type,data_field_code,value
2016-05-07,Brazil-Sergipe,state,BR0011,497
2016-05-07,Brazil-Bahia,state,BR0011,40420
2016-05-07,Sudeste,region,BR0011,54803
2016-05-07,Brazil-Minas_Gerais,state,BR0011,11237
2016-05-07,Brazil-Espirito_Santo,state,BR0011,1918
2016-05-07,Brazil-Rio_de_Janeiro,state,BR0011,38196
2016-05-07,Brazil-Sao_Paulo,state,BR0011,3452
2016-05-07,Sul,region,BR0011,2431
2016-05-07,Brazil-Parana,state,BR0011,2025
2016-05-07,Brazil-Santa_Catarina,state,BR0011,95
2016-05-07,Brazil-Rio_Grande_do_Sul,state,BR0011,311
2016-05-07,Centro-Oeste,region,BR0011,21756
2016-05-07,Brazil-Mato_Grosso_do_Sul,state,BR0011,621
2016-05-07,Brazil-Mato_Grosso,state,BR0011,18226
2016-05-07,Brazil-Goias,state,BR0011,2604
2016-05-07,Brazil-Distrito_Federal,state,BR0011,305
2016-05-07,Brazil,country,BR0011,138108
2016-05-14,Norte,region,BR0011,8053
2016-05-14,Brazil-Rondonia,state,BR0011,960
2016-05-14,Brazil-Acre,state,BR0011,823
2016-05-14,Brazil-Amazonas,state,BR0011,2172
2016-05-14,Brazil-Roraima,state,BR0011,79
2016-05-14,Brazil-Para,state,BR0011,1362
2016-05-14,Brazil-Amapa,state,BR0011,122
2016-05-14,Brazil-Tocantins,state,BR0011,2535
2016-05-14,Nordeste,region,BR0011,51065
2016-05-14,Brazil-Maranhao,state,BR0011,2003
2016-05-14,Brazil-Piaui,state,BR0011,95
2016-05-14,Brazil-Ceara,state,BR0011,887
2016-05-14,Brazil-Rio_Grande_do_Norte,state,BR0011,1757
2016-05-14,Brazil-Paraiba,state,BR0011,2452
2016-05-14,Brazil-Pernambuco,state,BR0011,496
2016-05-14,Brazil-Alagoas,state,BR0011,2458
2016-05-14,Brazil-Sergipe,state,BR0011,497
2016-05-14,Brazil-Bahia,state,BR0011,40420
2016-05-14,Sudeste,region,BR0011,54803
2016-05-14,Brazil-Minas_Gerais,state,BR0011,11237
2016-05-14,Brazil-Espirito_Santo,state,BR0011,1918
2016-05-14,Brazil-Rio_de_Janeiro,state,BR0011,38196
2016-05-14,Brazil-Sao_Paulo,state,BR0011,3452
2016-05-14,Sul,region,BR0011,2431
2016-05-14,Brazil-Parana,state,BR0011,2025
2016-05-14,Brazil-Santa_Catarina,state,BR0011,95
2016-05-14,Brazil-Rio_Grande_do_Sul,state,BR0011,311
2016-05-14,Centro-Oeste,region,BR0011,21756
2016-05-14,Brazil-Mato_Grosso_do_Sul,state,BR0011,621
2016-05-14,Brazil-Mato_Grosso,state,BR0011,18226
2016-05-14,Brazil-Goias,state,BR0011,2604
2016-05-14,Brazil-Distrito_Federal,state,BR0011,305
2016-05-14,Brazil,country,BR0011,138108
2016-05-21,Norte,region,BR0011,8432
2016-05-21,Brazil-Rondonia,state,BR0011,974
2016-05-21,Brazil-Acre,state,BR0011,923
2016-05-21,Brazil-Amazonas,state,BR0011,2172
2016-05-21,Brazil-Roraima,state,BR0011,83
2016-05-21,Brazil-Para,state,BR0011,1583
2016-05-21,Brazil-Amapa,state,BR0011,162
2016-05-21,Brazil-Tocantins,state,BR0011,2535
2016-05-21,Nordeste,region,BR0011,54165
2016-05-21,Brazil-Maranhao,state,BR0011,2276
2016-05-21,Brazil-Piaui,state,BR0011,148
2016-05-21,Brazil-Ceara,state,BR0011,1238
2016-05-21,Brazil-Rio_Grande_do_Norte,state,BR0011,1788
2016-05-21,Brazil-Paraiba,state,BR0011,2648
2016-05-21,Brazil-Pernambuco,state,BR0011,496
2016-05-21,Brazil-Alagoas,state,BR0011,2812
2016-05-21,Brazil-Sergipe,state,BR0011,499
2016-05-21,Brazil-Bahia,state,BR0011,42260
