report_date;location;climate;temp_max;temp_min;unit_temp;population;population_density;unit_pop_density;latitude_north_borders;longitude_north_borders;latitude_west_borders;longitude_west_borders;latitude_est_borders;longitude_est_borders;latitude_south_borders;longitude_south_borders;location_type;data_field;data_field_code;time_period;time_period_type;value;unit
23/04/2016;Brazil-Amapa;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;127;cases
30/04/2016;Brazil-Amapa;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;122;cases
07/05/2016;Brazil-Amapa;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;122;cases
14/05/2016;Brazil-Amapa;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;122;cases
21/05/2016;Brazil-Amapa;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;162;cases
28/05/2016;Brazil-Amapa;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;189;cases
11/06/2016;Brazil-Amapa;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;189;cases
02/04/2016;Brazil-Amazonas;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;1520;cases
23/04/2016;Brazil-Amazonas;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;2172;cases
30/04/2016;Brazil-Amazonas;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;2172;cases
07/05/2016;Brazil-Amazonas;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;2172;cases
14/05/2016;Brazil-Amazonas;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;2172;cases
21/05/2016;Brazil-Amazonas;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;2172;cases
28/05/2016;Brazil-Amazonas;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;2176;cases
11/06/2016;Brazil-Amazonas;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;3713;cases
02/04/2016;Brazil-Bahia;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;25061;cases
23/04/2016;Brazil-Bahia;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;34507;cases
30/04/2016;Brazil-Bahia;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;37836;cases
07/05/2016;Brazil-Bahia;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;40420;cases
14/05/2016;Brazil-Bahia;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;40420;cases
21/05/2016;Brazil-Bahia;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;42260;cases
28/05/2016;Brazil-Bahia;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;45419;cases
11/06/2016;Brazil-Bahia;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;46427;cases
02/04/2016;Brazil-Ceara;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;156;cases
23/04/2016;Brazil-Ceara;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;676;cases
30/04/2016;Brazil-Ceara;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;832;cases
07/05/2016;Brazil-Ceara;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;887;cases
14/05/2016;Brazil-Ceara;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;887;cases
21/05/2016;Brazil-Ceara;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;1238;cases
28/05/2016;Brazil-Ceara;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;2144;cases
11/06/2016;Brazil-Ceara;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;2358;cases
02/04/2016;Brazil-Distrito_Federal;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;233;cases
23/04/2016;Brazil-Distrito_Federal;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;276;cases
30/04/2016;Brazil-Distrito_Federal;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;295;cases
07/05/2016;Brazil-Distrito_Federal;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;305;cases
14/05/2016;Brazil-Distrito_Federal;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;305;cases
21/05/2016;Brazil-Distrito_Federal;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;369;cases
28/05/2016;Brazil-Distrito_Federal;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;369;cases
11/06/2016;Brazil-Distrito_Federal;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;367;cases
02/04/2016;Brazil-Espirito_Santo;savanna;31,00;22,00;degrees;207 848 000;24,70;personne/km(2);4.205138; -60.069548;-6.980348; -73.370158;-7.757672; -34.828211;-33.675245; -53.331061;state;zika_reported;BR0011;NA;NA;1382;cases
